Pairs,Sharpe,Simple_rtn,STD,Trading_times,Holding_days,Total_days,Comm
MA_21 MA_84,-0.2696710056306024,0.7477453883777327,0.010352851363657956,86.0,3134.0,4936.0,0.0
MA_21 MA_85,-0.29616902736333556,0.9417532658397854,0.01034869924880508,82.0,3136.0,4936.0,0.0
MA_21 MA_86,-0.2961690273633358,0.9786740540331655,0.010348699248805073,82.0,3147.0,4936.0,0.0
MA_21 MA_87,-0.29616902736333334,1.1998651771004356,0.010348699248805085,78.0,3146.0,4936.0,0.0
MA_21 MA_88,-0.2961690273633369,1.154015649980122,0.01034869924880508,78.0,3140.0,4936.0,0.0
MA_21 MA_89,-0.2961690273633366,1.180041247144859,0.010348699248805066,72.0,3137.0,4936.0,0.0
MA_21 MA_90,-0.3095456905867513,1.147859967488674,0.010406929132466533,74.0,3151.0,4936.0,0.0
MA_21 MA_91,-0.27780912824504306,1.0702196948895049,0.010516648567234423,68.0,3162.0,4936.0,0.0
MA_21 MA_92,-0.21287689938089382,1.2125519691007791,0.010549347412655768,68.0,3171.0,4936.0,0.0
MA_21 MA_93,-0.11209627642917938,1.2515645176451522,0.010608212832582913,64.0,3176.0,4936.0,0.0
MA_21 MA_94,-0.13896128943487973,1.335781950032624,0.010612080024740197,66.0,3184.0,4936.0,0.0
MA_21 MA_95,-0.17687058352259694,1.3870455901632148,0.010619883213462439,68.0,3191.0,4936.0,0.0
MA_21 MA_96,-0.1701454496629707,1.5994236289041304,0.01063953452865751,58.0,3201.0,4936.0,0.0
MA_21 MA_97,-0.11444709468971181,1.5864388997166694,0.010656651726841623,56.0,3208.0,4936.0,0.0
MA_21 MA_98,-0.007968833861597267,1.7315911340686236,0.010690101572986126,58.0,3211.0,4936.0,0.0
MA_21 MA_99,0.12154582268124627,1.8789038236708335,0.010737349930308756,58.0,3222.0,4936.0,0.0
MA_21 MA_100,0.249369601619872,1.8887528788504113,0.010819359790083074,52.0,3225.0,4936.0,0.0
MA_22 MA_32,-0.001487294531017105,0.038747031201532556,0.009854251514207142,204.0,2937.0,4936.0,0.0
MA_22 MA_33,0.30170435447493693,0.3313467940386017,0.010106688188317106,194.0,2963.0,4936.0,0.0
MA_22 MA_34,0.38553533068911405,0.45244659457735725,0.010125277716391013,182.0,2983.0,4936.0,0.0
MA_22 MA_35,0.23859907716903003,0.5181237092832836,0.010098958702420844,172.0,2974.0,4936.0,0.0
MA_22 MA_36,0.5604231004885472,0.5966913757395238,0.01022355645401169,168.0,2981.0,4936.0,0.0
MA_22 MA_37,0.33333710535557803,0.6489572991085315,0.010439520659511608,160.0,2995.0,4936.0,0.0
MA_22 MA_38,0.38748387824346303,0.4342351267156266,0.0104509517748765,162.0,3001.0,4936.0,0.0
MA_22 MA_39,0.6551708068692844,0.8111131284206854,0.01036211609268203,160.0,2999.0,4936.0,0.0
MA_22 MA_40,0.5637643601177835,0.5046028503359179,0.010420011230140868,160.0,3009.0,4936.0,0.0
MA_22 MA_41,0.6570244118739321,0.664548530508331,0.010456364666265672,148.0,3026.0,4936.0,0.0
MA_22 MA_42,0.5582122236460816,0.7303893788344156,0.010435193740769797,140.0,3034.0,4936.0,0.0
MA_22 MA_43,0.24376221759151734,0.7879853170611515,0.010235357034189565,128.0,3034.0,4936.0,0.0
MA_22 MA_44,0.2192718208904472,0.7393128275015672,0.010262344035223069,128.0,3033.0,4936.0,0.0
MA_22 MA_45,0.2621759209869595,0.7291561620718361,0.010253320471400264,128.0,3037.0,4936.0,0.0
MA_22 MA_46,0.2157944794215086,0.6736920617978706,0.010243696581517865,122.0,3051.0,4936.0,0.0
MA_22 MA_47,0.184148346172302,0.42250952420712107,0.010248727175604986,128.0,3051.0,4936.0,0.0
MA_22 MA_48,0.198812235999973,0.5050205459654344,0.010247565777266182,118.0,3045.0,4936.0,0.0
MA_22 MA_49,0.2227214314579445,0.5815377640571162,0.010277037291824026,116.0,3047.0,4936.0,0.0
MA_22 MA_50,0.20754378841391088,0.5665453700877396,0.010287050243508662,116.0,3053.0,4936.0,0.0
MA_22 MA_51,0.23656710744975784,0.7353377632915972,0.010294553136780907,110.0,3065.0,4936.0,0.0
MA_22 MA_52,0.23656710744975795,0.7792617697399842,0.010294553136780902,110.0,3076.0,4936.0,0.0
MA_22 MA_53,0.25119952642555843,0.7613001312215792,0.01029873241322686,114.0,3101.0,4936.0,0.0
MA_22 MA_54,0.26185990127944975,0.8908318019652226,0.010298073194650148,106.0,3114.0,4936.0,0.0
MA_22 MA_55,0.16322067712852278,1.0536789394134836,0.010287141820806228,104.0,3131.0,4936.0,0.0
MA_22 MA_56,0.16322067712852445,1.314069257965822,0.01028714182080621,98.0,3151.0,4936.0,0.0
MA_22 MA_57,0.1120590064736635,1.1643237106779702,0.010364740590021853,94.0,3159.0,4936.0,0.0
MA_22 MA_58,0.12347412132060527,1.0454568903329164,0.010364020291891962,92.0,3169.0,4936.0,0.0
MA_22 MA_59,0.12347412132060673,1.3996576219236943,0.010364020291891953,92.0,3167.0,4936.0,0.0
MA_22 MA_60,0.06261357572526695,1.3805171841954045,0.01033937573665671,88.0,3173.0,4936.0,0.0
MA_22 MA_61,0.10209519803337466,1.2498658842336003,0.010346898515061093,84.0,3174.0,4936.0,0.0
MA_22 MA_62,-0.001604621868166957,1.092568193581334,0.010290733281151878,84.0,3173.0,4936.0,0.0
